test_no,rel,rel_clustered,l_rank,r_rank,l_rank_clustered,r_rank_clustered
1294,65,1,49,2,185,13680
1295,65,1,35435,1652349,655949,1125559
1296,65,1,145,5807,70441,692401
1297,65,1,1409552,895059,1066039,819026
1298,65,1,1235028,523772,1536918,1373048
1299,65,1,278910,47706,24563,1397394
1386,75,40,0,103,31244,668350
1387,75,40,8424,138,349442,332195
1388,75,40,415147,63330,152807,1511299
1389,75,40,28696,6,1475670,505587
1390,75,40,15133,137,318223,70861
1391,75,40,158466,1185,212161,670684
1392,75,40,442921,452,270597,1162527
1393,75,40,1439063,571,216877,587487
1394,75,40,85172,10639,1686830,1387049
1395,75,40,104198,122,541876,660573
1396,75,40,1851891,2307,818319,1195705
1397,75,40,572034,299997,1504696,1294158
1398,76,38,277,665,10,110
1399,76,38,3394,33792,475,12330
1400,76,38,379,17049,1,701
1401,76,38,42,25,118,20
1402,76,38,9436,44,8198,173
1403,76,38,34845,44432,10428,60153
1404,76,38,7,1984,14,1726
1405,76,38,128790,99288,79628,13171
1406,76,38,2804,39821,13,439
1407,76,38,107,8,360491,17759
1408,76,38,762021,523897,20606,689750
1412,78,0,4281,17673,15286,11326
1413,78,0,305,61,10812,349393
1414,78,0,1234,914525,9078,146544
1415,78,0,6954,4584,13556,33418
1416,78,0,43026,18737,48893,2255394
1431,81,3,1951,21352,10548,168486
1432,81,3,1,177,614,74
1433,81,3,6449,216755,54026,36941
1434,81,3,20634,2617,156308,447
1435,81,3,15071,134,296,46
1436,81,3,1863677,1962789,1980769,2066157
1463,87,0,2188,2421,3990,1939
1464,87,0,562,3419,640,665
1465,87,0,1120,6545,216,7983
1466,87,0,29806,510975,2146,227917
1467,87,0,484,77,801,545
1468,87,0,1545332,277088,1032197,662911
1469,87,0,1233031,19481,1311271,1933289
1470,87,0,1474,56,630509,712070
1471,87,0,507098,251954,753102,140641
1472,88,16,1096,458,2151,926
1473,88,16,6909,455404,7416,111831
1474,88,16,28547,7091,13321,69841
1475,88,16,63882,2756,192376,11604
1476,88,16,1160708,23071,834607,120705
1477,89,64,2305,498,890,99
1478,89,64,13027,72,18121,1040
1479,89,64,25835,1360,36013,5056
1492,91,0,5939,2520,9033,1355520
1493,91,0,2147,111,4086,46435
1494,91,0,66224,191,1572769,257932
1495,91,0,2038,67,4887,225176
1496,91,0,59292,12323,2199680,18437
1497,91,0,328114,415029,2236867,1594981
1498,91,0,2002205,1941461,2158824,1969186
1499,91,0,14396,166103,2497,7627
1500,92,12,5890,365075,85942,123933
1501,92,12,214848,700323,302144,880757
1502,92,12,299,1,361,7454
1503,92,12,1729,200654,36909,40979
1504,92,12,19,236,4441,73158
1505,92,12,416,6551,45,152669
1506,92,12,825392,1023851,466080,598846
1507,92,12,58069,187822,1823137,2000853
1508,92,12,576711,699657,1141481,1487321
1530,95,0,1853574,905008,2012706,1377671
1531,95,0,9612,2669,135322,57019
1532,95,0,1548822,1330288,926014,1021246
