id,l_rank,r_rank,index,h,t,r
584,37725,31099,5817,329208,10567,12
585,17123,2012,6054,367636,300186,12
586,1978959,2160260,1308,406310,134188,12
587,129367,1564029,1889,468296,41437,12
588,46,127760,8782,489572,2263886,12
589,1829389,701508,8694,579408,108161,12
590,2123046,5165,3964,1056562,337196,12
591,732339,642141,5037,1059343,53,12
592,1476866,29463,6219,1074788,32207,12
593,105142,1,2099,2263081,7783,12
594,861599,435,2100,2263082,730,12
595,1012802,100079,6832,2263143,37722,12
596,1779112,2103582,8207,2263167,5072,12
597,999,349042,4523,255,2263717,13
598,284,179920,463,1408,2263501,13
599,2940,560,7785,1707,939324,13
600,5115,510481,2884,5867,1429571,13
601,3332,124623,2958,7754,2263653,13
602,10598,1287901,5073,9337,944,13
603,19353,191,850,70048,24026,13
604,3,763,4352,89591,609,13
605,44814,213920,8672,126624,2263882,13
606,1770851,727229,1847,550536,2263547,13
607,1491,19232,4351,681413,1361,13
608,4887,1484,779,1031884,51188,13
609,2125738,25123,9007,1106609,30247,13
610,351,207,8429,9216,151280,14
611,13934,2093,3363,16198,500100,14
612,520,397,6699,18153,378832,14
613,8660,1685311,5033,31474,485230,14
614,89013,1919,8506,143880,733500,14
615,181156,19,3774,678381,85334,14
616,1644,9152,3645,129,9876,15
617,344,66,5550,226,1360,15
618,962495,1209939,8556,445,2263877,15
619,92351,17461,6179,462,873837,15
620,6296,113,5799,852,695,15
621,622,39987,4097,966,58898,15
622,15,104,390,968,777,15
623,5779,16494,1004,1022,125916,15
624,2310,1006,106,1154,14002,15
625,620,9016,5278,1164,7542,15
626,1017,3300,2440,1213,23869,15
627,2206,1856,1700,2703,18626,15
628,246554,1884963,630,23343,521134,15
629,28326,4276,8873,23759,124526,15
630,42287,463,970,43449,1083,15
631,660952,54833,418,215992,2300,15
632,1843415,51630,6412,235163,116842,15
633,57295,143087,7529,276310,326185,15
634,72754,1746,7219,301332,624600,15
635,2109957,965235,1937,361100,2263551,15
636,187358,48378,6792,873944,151,15
637,4548,13206,5706,571,89,16
638,5849,3617,6910,2219,287,16
639,10629,656,2726,6711,113,16
640,13004,241425,1460,9390,269774,16
641,1431415,526953,1838,11107,1336015,16
642,20463,2157339,4699,20484,47103,16
643,3,238,4679,26406,23057,16
644,9978,6002,20,38381,512,16
645,11,139,650,60080,1124763,16
646,2,338,649,60080,1406679,16
647,1345855,28421,1652,135786,429850,16
648,1867,7642,283,171406,2551,16
649,142,339,7939,333412,49635,16
650,143215,3654,7608,486110,40458,16
651,12,146136,8501,488785,2263874,16
652,1672011,1033264,1392,548754,11984,16
653,601786,1115647,2093,1044378,87,16
654,1072816,1772536,4357,1143215,95,16
655,804293,55783,4296,1170998,2263703,16
656,7078,24417,2609,1,225,17
657,7707,4895,2247,218,1494,17
658,52771,569931,5984,914,127960,17
659,2877,229,6193,1548,29,17
660,4597,93,296,2367,25651,17
661,1292,99,8142,4291,195574,17
662,965,611,2766,5152,306020,17
663,3622,15,4135,9049,2214,17
664,10516,213,4473,12650,32531,17
665,1165,582,436,16108,208838,17
666,1411218,241833,1294,23504,953100,17
667,70917,2071,2442,31121,53866,17
668,70221,6283,8649,48858,238075,17
669,64955,483,376,56169,337527,17
670,432112,1644542,1167,103820,752121,17
671,941692,86,5710,192860,5456,17
672,12575,88147,8777,221544,19769,17
673,1121838,1804,6867,275278,587323,17
674,185969,429,5386,581372,102412,17
675,62,0,4122,1851,30,18
676,7,0,8780,25819,30,18
677,32,1,308,41713,30,18
678,2323,0,5637,45336,30,18
679,1935,0,8303,90118,30,18
680,361,1,1370,360058,30,18
681,228,2,3505,410501,30,18
682,705,1,157,543803,43,18
683,962,1,5221,686111,43,18
684,3216,9,2060,837863,43,18
685,4182,525,2651,1,1558,19
686,445,17,5059,738,25653,19
687,9068,21,3049,1074,425,19
688,664,169,7535,1702,138950,19
689,983,25,8456,3141,2339,19
690,3195,49,6009,5153,5062,19
691,26,11,8448,6021,425,19
692,2294,157,8660,11768,4835,19
693,1882391,1486363,6728,35607,610998,19
694,10873,292,459,38811,151265,19
695,10527,23,4085,47299,242,19
696,4185,248,5514,52662,306180,19
697,131,8,9003,58493,2634,19
698,21085,650,4054,70272,164,19
699,3635,7,3640,104192,242,19
700,27492,288,4531,149154,268,19
701,304311,142,8542,174842,242,19
702,296275,9568,638,191100,122,19
703,10333,6613,7747,371957,637,19
704,30176,87,1174,465895,158777,19
705,352131,33300,591,496994,4667,19
706,310757,278,609,825993,242,19
707,5470,0,8890,894025,5006,19
708,998,90,8485,27,1069,20
709,683,51,3786,45,6853,20
710,3697,161,539,256,96,20
711,42918,1232811,2335,388,1278586,20
712,1655,0,3841,497,2829,20
713,1202507,496236,4081,1513,2263699,20
714,9886,645932,3951,1834,2263693,20
715,1053707,477759,9673,1975,2263906,20
716,745,6322,1115,3503,10222,20
717,7695,2057378,5076,9338,339226,20
718,127,128,4990,9484,1912,20
719,516,194263,2051,14193,380867,20
720,39,241862,1686,16192,2263540,20
721,2243719,875997,7088,22147,2263814,20
722,24,596,5807,45338,41972,20
723,767281,4,1425,64713,3449,20
724,141681,2311,2497,84552,412,20
725,1190,0,3400,100904,2829,20
726,18325,1018,9607,181802,11174,20
727,809871,981,9297,257512,96,20
728,1962772,199163,6639,274885,2263795,20
729,435201,0,3758,411030,7613,20
730,1296776,1239056,1434,466918,1527,20
731,195775,6216,596,1030818,927922,20
732,1066631,885,8817,1432647,2829,20
733,859,0,5066,3873,66,21
734,2635,0,1867,5413,82,21
735,5782,0,3035,14072,66,21
736,406,0,8431,15112,82,21
737,3907,4,2138,17302,67,21
738,5387,1,627,33345,82,21
739,3323,0,7589,34865,67,21
740,6423,15,2591,39816,238273,21
741,13527,0,5548,41318,66,21
742,1044,1,4253,44094,67,21
743,12,0,5495,47980,67,21
744,866,1,960,73164,82,21
745,103,1,1698,86792,82,21
746,16273,6,122,94481,2349,21
747,149,0,1451,181240,67,21
748,2729,0,1821,216881,67,21
749,18459,0,5880,234668,66,21
750,1358,1,4169,251171,82,21
751,7550,2,5085,273137,67,21
752,4253,2,4364,474548,82,21
753,4786,1,4150,680166,66,21
754,50,1445,3196,5,218446,22
755,6261,4249,9253,113,3253,22
756,13,1105,3204,568,8548,22
757,3117,1317,688,593,111,22
758,1764,35,7604,4843,14163,22
